strength	module_id	clustering	betweeness	loc_efficiency
0.200540537	3	0.521332554	214	0.366825293
0.135036337	1	0.462962963	236	0.347475434
0.081340168	1	0.507389163	86	0.365587475
0.209666492	4	0.706964006	98	0.36886014
0.159253404	5	0.740096618	28	0.356825802
0.069212448	1	0.584980237	72	0.387820005
0.075338692	1	0.678947368	32	0.422101945
0.176622505	4	0.678571429	182	0.321840214
0.17182379	4	0.790726817	86	0.365279579
0.128900424	5	0.481884058	60	0.370745484
0.183319784	4	0.666666667	258	0.339930418
0.141115921	5	0.505747126	52	0.362575622
0.132874841	4	0.569500675	242	0.321212709
0.232066355	4	0.64938713	96	0.367690178
0.129765774	3	0.569069069	160	0.35835006
0.141797878	4	0.71	28	0.354471962
0.136574366	1	0.468965517	150	0.350310123
0.21528391	4	0.603085554	454	0.329279581
0.115698281	1	0.616600791	160	0.395124817
0.182885334	4	0.641791045	130	0.343591273
0.223909179	2	0.59047619	256	0.33702013
0.243274917	4	0.68258427	36	0.384224016
0.179741371	4	0.563170163	186	0.317569692
0.190014731	4	0.682162162	72	0.35306713
0.202449072	2	0.607098765	490	0.339832431
0.049878372	1	0.581818182	52	0.333602981
0.220729978	4	0.669115486	212	0.357995286
0.237473476	2	0.595760981	296	0.35245845
0.195420563	4	0.734615385	154	0.34578422
0.099931172	5	0.415204678	74	0.244309246
0.191000483	5	0.50565355	336	0.34669459
0.103104758	3	0.420634921	342	0.338180299
0.13993223	1	0.413472706	248	0.333442187
0.165589353	1	0.463768116	318	0.328973069
0.135449378	3	0.467948718	234	0.33268806
0.230581178	2	0.621722846	278	0.352617963
0.226064463	4	0.673417722	158	0.35452227
0.062008917	1	0.474358974	78	0.268216094
0.173246732	4	0.742830712	68	0.345500808
0.10404889	3	0.608465608	76	0.35370339
0.234218097	3	0.51659654	400	0.348533161
0.164697024	2	0.721212121	80	0.361081377
0.194115264	5	0.600649351	52	0.349228608
0.162901626	3	0.623678647	38	0.391102365
0.169090286	3	0.438596491	610	0.32974383
0.19285893	4	0.731343284	166	0.355108145
0.14719084	2	0.764119601	192	0.380772902
0.141704312	2	0.746218487	76	0.391825776
0.208213548	4	0.751573491	66	0.371724116
0.134546536	3	0.553846154	166	0.362360851
0.146429265	5	0.359663866	242	0.30858856
0.161269271	5	0.559666975	176	0.32930161
0.136251804	3	0.53200569	118	0.356455548
0.198628699	2	0.694828469	106	0.376987654
0.270180054	2	0.520153824	346	0.350435124
0.220112251	3	0.56882716	218	0.355195153
0.193670475	4	0.621527778	302	0.335856633
0.268969841	2	0.503114588	682	0.342902667
0.186603058	2	0.602403846	180	0.377804327
0.175774577	4	0.677272727	310	0.341764654
0.181596025	3	0.496672716	144	0.336787638
0.176167633	5	0.595337995	334	0.32048694
0.108638333	3	0.450980392	46	0.254919239
0.221612363	4	0.628762542	160	0.345521207
0.153620402	2	0.614401858	198	0.30596254
0.147545476	3	0.565384615	214	0.351135571
0.237458169	4	0.636184211	124	0.364139728
0.195922429	3	0.527815468	80	0.366130818
0.069610811	1	0.666666667	2	0.253606177
0.280854021	2	0.546360917	368	0.364422396
0.208210289	2	0.624007937	172	0.364576839
0.203115128	3	0.486921529	160	0.348381316
0.156497034	5	0.634423898	50	0.383295351
0.122291569	3	0.591093117	110	0.379313835
0.050139447	1	0.705882353	20	0.415856332
0.215921039	4	0.59371808	446	0.333093942
0.150269735	5	0.577524893	202	0.304598163
0.19778672	2	0.666666667	262	0.3334446
0.232844084	4	0.643896976	50	0.37161043
0.137172636	3	0.594871795	144	0.34756735
0.20028035	4	0.625570776	174	0.342546237
0.2119615	4	0.650420168	188	0.358775694
0.116284105	3	0.490322581	152	0.334961784
0.197594386	2	0.646401118	74	0.377802166
0.203734129	2	0.67027027	154	0.358652946
0.246603816	2	0.56709575	244	0.358242549
0.210152829	2	0.691994573	118	0.385939675
0.138123023	3	0.544086022	108	0.351298969
0.20956536	2	0.65001665	94	0.37110344
0.246468888	2	0.599876314	282	0.368794399
0.240200978	2	0.601973684	110	0.362983421
0.138991877	4	0.59469697	242	0.326878837
0.24075616	4	0.608740466	134	0.355558806
0.129645487	5	0.470588235	102	0.35679603
0.235419733	4	0.636925189	148	0.364793108
0.146939831	4	0.701449275	148	0.330278242
0.202348173	5	0.586449463	98	0.361052347
0.125791759	4	0.642045455	58	0.308353287
0.108072531	3	0.574074074	122	0.370118275
0.166947917	5	0.6	164	0.339931334
0.058433367	1	0.508333333	34	0.355401723
0.186876122	5	0.617249417	132	0.350564372
0.093094586	5	0.518115942	120	0.380724811
0.106173191	1	0.652380952	36	0.393382322
0.205572871	2	0.658234127	148	0.383412258
0.114078174	3	0.715909091	36	0.403766396
0.167428675	5	0.65892598	86	0.349448514
0.192662854	5	0.537657658	464	0.337115896
0.180582052	2	0.611864407	216	0.358648203
0.077229412	1	0.613333333	28	0.407493606
0.105255853	1	0.52955665	94	0.368295783
0.080320118	5	0.553333333	50	0.384852233
0.08855557	1	0.888888889	2	0.493079033
0.086518257	1	0.532763533	88	0.384325994
0.21497021	4	0.64972973	198	0.339750791
0.22661157	4	0.553062179	588	0.350698544
0.158828536	4	0.65974026	246	0.33368927
0.209457802	4	0.628844839	90	0.355787117
0.18046699	4	0.684811238	176	0.341486726
0.157091936	4	0.61461794	292	0.330086971
0.251544737	4	0.640648012	92	0.374143064
0.084138902	5	0.546666667	50	0.38134766
0.092723445	1	0.339869281	178	0.289800612
0.24706482	4	0.660561661	82	0.367616083
0.132011439	1	0.460591133	236	0.368266699
0.201509302	4	0.757123474	42	0.373783326
0.149565775	5	0.667774086	126	0.360787279
0.221726951	4	0.670109007	192	0.37064549
0.151080564	2	0.658562368	118	0.330330958
0.167831658	4	0.74040404	96	0.337842499
0.127433988	1	0.522167488	52	0.358619758
0.107480289	3	0.56916996	38	0.345352649
0.186535623	1	0.346859903	766	0.27801415
0.184241552	4	0.745519713	160	0.359032431
0.233387096	4	0.646812957	132	0.365611142
0.220996198	4	0.686315789	60	0.365928392
0.1230731	3	0.363636364	322	0.299300849
0.147908711	1	0.481818182	602	0.319660963
0.169226442	1	0.488888889	240	0.32049482
0.142959041	3	0.4682861	342	0.328631957
0.198815927	4	0.716842105	214	0.348752351
0.13318379	1	0.581512605	372	0.320748232
0.192059108	4	0.765536723	58	0.354123137
0.231491416	2	0.60402057	530	0.340680095
0.169067374	3	0.520816327	112	0.369016356
0.19495351	3	0.529953917	142	0.34300269
0.146675414	1	0.401209677	200	0.28787119
0.197689938	3	0.49321267	366	0.322917501
0.23390556	2	0.545843357	480	0.351146336
0.12347725	3	0.614102564	34	0.397000416
0.246377171	4	0.652631579	92	0.379403138
0.124304739	3	0.548199768	144	0.370600973
0.126773359	3	0.535984848	104	0.329958727
0.115185071	3	0.703629032	8	0.39184002
0.184725308	2	0.661551577	72	0.344010754
0.26711256	2	0.562334685	186	0.365836844
0.228516178	4	0.595760981	352	0.345075394
0.233443284	3	0.50931677	138	0.34895575
0.252687362	2	0.56460018	572	0.35034464
0.224181735	4	0.600574713	160	0.361388479
0.255254727	4	0.611463779	198	0.36755114
0.167417387	2	0.573724668	224	0.353425579
0.256081644	2	0.594427791	156	0.356334466
0.157379545	3	0.430232558	230	0.316078576
0.207970282	2	0.650420168	144	0.349769962
0.150245032	3	0.533333333	70	0.353958223
0.20039983	4	0.587930396	194	0.348947567
0.217085699	2	0.637815126	60	0.362155356
0.240270141	4	0.691575092	84	0.380001287
