x,y,z
-40,-68,-10
-2,12,46
-40,2,32
-44,-56,-8
-40,24,22
-26,-90,-4
-24,-4,52
-22,-64,48
40,14,-6
40,-64,-10
26,-62,40
30,-92,-4
26,-2,50
32,-4,64
28,-66,32
26,-64,52
0,-30,-6
-16,68,20
-42,-76,32
-16,-72,-8
-4,-36,44
-22,28,50
-58,-4,-16
-18,-30,64
-40,-14,36
0,-42,48
46,-74,32
24,34,42
-12,70,12
56,-4,-16
30,-42,-8
36,-16,20
54,-4,8
6,-48,44
44,-32,24
0,22,-8
-30,21,4
-46,-66,25
-33,-45,44
-1,54,-8
35,18,5
27,-35,-14
-18,-16,22
-26,-66,-26
-46,48,-16
-54,-38,42
-64,-32,20
-26,44,-14
-52,-64,-10
-52,-58,-4
-58,-66,-4
-16,-8,16
44,-42,44
60,-34,40
26,44,-14
56,-54,-4
18,-44,48
-2,8,4
0,-12,0
-44,-70,38
0,-30,34
-52,4,-30
-58,-14,-16
0,-54,28
-6,54,32
0,56,20
-36,14,-24
46,-64,30
60,-8,-22
22,-20,-18
50,4,-34
30,14,-20
4,4,-4
