Geo Fudge for Tim,Node,Load Fraction (%),Gas Units,Wind Units,Solar Units,Total No. DG Units
,1,0,0,0,0,0
VIC West,2,8,0,0,0,0
,3,1,1,0,0,1
SA,4,3,1,0,0,1
NSW,5,33,1,0,0,1
,6,0,1,5,0,6
VIC Centre,7,8,1,2,0,3
VIC West,8,11,1,0,1,2
,9,0,1,0,0,1
,10,2,1,0,1,2
,11,0,1,0,0,1
Tasmania,12,4,1,0,0,1
Tasmania,13,0,0,0,0,0
,14,2,1,2,0,3
,15,3,1,4,1,6
,16,1,1,1,0,2
,17,3,1,2,0,3
,18,1,1,5,0,6
,19,3,1,2,0,3
,20,1,1,5,4,10
QLD SE,21,6,1,5,1,7
,22,0,0,0,0,0
,23,1,0,0,0,0
QLD Centre,24,3,0,0,0,0
,25,0,1,0,0,1
QLD North,26,1,1,0,0,1
,27,0,0,0,0,0
,28,0,1,2,0,3
,29,1,1,0,0,1
,30,4,1,0,0,1
,,,,,,
